SEASON_ID,TEAM_ID_A,TEAM_ABBREVIATION_A,TEAM_NAME_A,GAME_ID,GAME_DATE,MATCHUP,WL_A,MIN_A,FGM_A,FGA_A,FG_PCT_A,FG3M_A,FG3A_A,FG3_PCT_A,FTM_A,FTA_A,FT_PCT_A,OREB_A,DREB_A,REB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,PLUS_MINUS_A,TEAM_ID_B,TEAM_ABBREVIATION_B,TEAM_NAME_B,WL_B,MIN_B,FGM_B,FGA_B,FG_PCT_B,FG3M_B,FG3A_B,FG3_PCT_B,FTM_B,FTA_B,FT_PCT_B,OREB_B,DREB_B,REB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,PLUS_MINUS_B
21997.0,1611661313.0,NYL,New York Liberty,1029700033,1997-07-10,NYL vs. CHA,W,0.0,23.0,63.0,0.365,2.0,7.0,0.286,14.0,20.0,0.7,9.0,26.0,35.0,16.0,16.0,2.0,0.0,18.0,62.0,14.0,1611661314.0,CHA,Charlotte Sting,L,0.0,18.0,56.0,0.321,2.0,11.0,0.182,10.0,14.0,0.714,8.0,23.0,31.0,8.0,9.0,4.0,0.0,19.0,48.0,-14.0
21997.0,1611661320.0,LAS,Los Angeles Sparks,1029700034,1997-07-11,LAS vs. UTA,W,0.0,28.0,57.0,0.491,0.0,4.0,0.0,19.0,30.0,0.633,10.0,27.0,37.0,17.0,13.0,8.0,0.0,20.0,75.0,7.0,1611661319.0,UTA,Utah Starzz,L,0.0,25.0,66.0,0.379,4.0,13.0,0.308,14.0,25.0,0.56,13.0,17.0,30.0,10.0,17.0,4.0,0.0,25.0,68.0,-7.0
21997.0,1611661319.0,UTA,Utah Starzz,1029700037,1997-07-12,UTA vs. PHO,W,0.0,20.0,51.0,0.392,3.0,9.0,0.333,9.0,14.0,0.643,5.0,29.0,34.0,17.0,6.0,6.0,0.0,14.0,52.0,1.0,1611661317.0,PHO,Phoenix Mercury,L,0.0,19.0,60.0,0.317,5.0,17.0,0.294,8.0,9.0,0.889,8.0,23.0,31.0,10.0,10.0,3.0,0.0,16.0,51.0,-1.0
21997.0,1611661316.0,HOU,Houston Comets,1029700035,1997-07-12,HOU vs. SAC,W,0.0,35.0,65.0,0.538,9.0,21.0,0.429,10.0,17.0,0.588,7.0,20.0,27.0,23.0,12.0,2.0,0.0,12.0,89.0,28.0,1611661318.0,SAC,Sacramento Monarchs,L,0.0,24.0,62.0,0.387,5.0,15.0,0.333,8.0,10.0,0.8,12.0,19.0,31.0,13.0,6.0,2.0,0.0,14.0,61.0,-28.0
21997.0,1611661314.0,CHA,Charlotte Sting,1029700036,1997-07-12,CHA vs. CLE,W,0.0,29.0,59.0,0.492,3.0,10.0,0.3,11.0,19.0,0.579,14.0,33.0,47.0,21.0,6.0,4.0,0.0,17.0,72.0,29.0,1611661315.0,CLE,Cleveland Rockers,L,0.0,17.0,63.0,0.27,0.0,8.0,0.0,9.0,19.0,0.474,14.0,16.0,30.0,10.0,6.0,3.0,0.0,16.0,43.0,-29.0
21997.0,1611661320.0,LAS,Los Angeles Sparks,1029700038,1997-07-13,LAS vs. PHO,L,0.0,22.0,58.0,0.379,3.0,7.0,0.429,9.0,13.0,0.692,10.0,24.0,34.0,14.0,3.0,9.0,0.0,18.0,56.0,-1.0,1611661317.0,PHO,Phoenix Mercury,W,0.0,23.0,68.0,0.338,5.0,21.0,0.238,6.0,9.0,0.667,12.0,16.0,28.0,10.0,9.0,2.0,0.0,15.0,57.0,1.0
21997.0,1611661315.0,CLE,Cleveland Rockers,1029700039,1997-07-14,CLE vs. NYL,L,0.0,20.0,52.0,0.385,0.0,3.0,0.0,17.0,26.0,0.654,6.0,19.0,25.0,15.0,6.0,1.0,0.0,26.0,57.0,-11.0,1611661313.0,NYL,New York Liberty,W,0.0,22.0,55.0,0.4,1.0,6.0,0.167,23.0,34.0,0.676,10.0,25.0,35.0,18.0,15.0,6.0,0.0,23.0,68.0,11.0
21997.0,1611661316.0,HOU,Houston Comets,1029700040,1997-07-14,HOU vs. UTA,W,0.0,30.0,67.0,0.448,2.0,10.0,0.2,17.0,25.0,0.68,11.0,26.0,37.0,16.0,16.0,3.0,0.0,15.0,79.0,23.0,1611661319.0,UTA,Utah Starzz,L,0.0,22.0,70.0,0.314,2.0,9.0,0.222,10.0,12.0,0.833,19.0,22.0,41.0,12.0,5.0,4.0,0.0,20.0,56.0,-23.0
21997.0,1611661313.0,NYL,New York Liberty,1029700042,1997-07-15,NYL vs. CLE,W,0.0,28.0,62.0,0.452,3.0,7.0,0.429,17.0,21.0,0.81,8.0,31.0,39.0,22.0,11.0,3.0,0.0,17.0,76.0,17.0,1611661315.0,CLE,Cleveland Rockers,L,0.0,23.0,60.0,0.383,1.0,5.0,0.2,12.0,16.0,0.75,5.0,20.0,25.0,15.0,12.0,4.0,0.0,16.0,59.0,-17.0
21997.0,1611661318.0,SAC,Sacramento Monarchs,1029700041,1997-07-15,SAC vs. LAS,W,0.0,27.0,57.0,0.474,2.0,12.0,0.167,22.0,28.0,0.786,16.0,18.0,34.0,18.0,7.0,4.0,0.0,24.0,78.0,5.0,1611661320.0,LAS,Los Angeles Sparks,L,0.0,25.0,59.0,0.424,3.0,13.0,0.231,20.0,31.0,0.645,8.0,13.0,21.0,23.0,10.0,4.0,0.0,21.0,73.0,-5.0
21997.0,1611661314.0,CHA,Charlotte Sting,1029700044,1997-07-16,CHA vs. UTA,W,0.0,26.0,56.0,0.464,5.0,12.0,0.417,18.0,29.0,0.621,12.0,24.0,36.0,20.0,5.0,3.0,0.0,13.0,75.0,12.0,1611661319.0,UTA,Utah Starzz,L,0.0,23.0,63.0,0.365,5.0,11.0,0.455,12.0,16.0,0.75,11.0,16.0,27.0,16.0,10.0,5.0,0.0,25.0,63.0,-12.0
