,Unnamed: 0,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1177,1,2022200319,1612709903,Salt Lake City,Stars,SLC,stars,240:00,124.5,116.7,118.0,109.8,6.5,6.9,0.738,1.94,21.0,0.375,0.655,0.518,16.736,15.7,0.537,0.591,1.0,0.208,95.26,102.0,85.0,102.0,0.525
1178,0,2022200318,1612709918,Texas,Legends,TEX,legends,240:00,97.4,95.1,110.0,108.7,-12.6,-13.6,0.649,1.41,18.5,0.224,0.619,0.407,16.899,16.5,0.488,0.553,1.0,0.206,101.22,103.0,85.83,103.0,0.425
1179,1,2022200318,1612709908,Rio Grande Valley,Vipers,RGV,vipers,240:00,110.0,108.7,97.4,95.1,12.6,13.6,0.553,1.13,18.6,0.381,0.776,0.593,22.584,22.3,0.576,0.616,1.0,0.204,101.22,103.0,85.83,103.0,0.575
1180,0,2022200315,1612709922,Greensboro,Swarm,GBO,swarm,240:00,123.6,120.8,111.2,106.8,12.5,14.0,0.524,2.44,17.4,0.196,0.661,0.457,9.12,8.9,0.541,0.638,1.0,0.208,98.82,102.0,85.0,101.0,0.59
1181,1,2022200315,1612709915,Maine,Celtics,MNE,celtics,240:00,111.2,106.8,123.6,120.8,-12.5,-14.0,0.625,1.79,17.7,0.339,0.804,0.543,14.147,13.6,0.485,0.539,1.0,0.207,98.82,102.0,85.0,103.0,0.41
1182,0,22200904,1610612766,Charlotte,Hornets,CHA,hornets,240:00,104.0,103.8,97.2,99.0,6.8,4.8,0.526,1.33,14.8,0.235,0.78,0.505,14.44,14.4,0.489,0.541,1.0,0.198,104.92,104.0,86.67,104.0,0.538
1183,1,22200904,1610612748,Miami,Heat,MIA,heat,240:00,97.2,99.0,104.0,103.8,-6.8,-4.8,0.75,1.33,17.5,0.22,0.765,0.495,16.988,17.3,0.469,0.542,1.0,0.197,104.92,104.0,86.67,104.0,0.462
1184,0,22200906,1610612752,New York,Knicks,NYK,knicks,240:00,120.6,123.1,100.7,101.9,19.9,21.2,0.533,1.26,17.0,0.318,0.754,0.578,17.904,18.3,0.619,0.652,1.0,0.198,105.68,104.0,86.67,104.0,0.572
1185,1,22200906,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,100.7,101.9,120.6,123.1,-19.9,-21.2,0.625,3.57,17.5,0.246,0.682,0.422,6.651,6.7,0.431,0.476,1.0,0.2,105.68,104.0,86.67,104.0,0.428
1186,0,22200903,1610612765,Detroit,Pistons,DET,pistons,240:00,91.8,93.8,94.1,96.9,-2.3,-3.1,0.684,1.63,18.3,0.339,0.762,0.557,16.136,16.5,0.436,0.454,1.0,0.195,100.06,97.5,81.25,97.0,0.488
1187,1,22200903,1610612761,Toronto,Raptors,TOR,raptors,240:00,94.1,96.9,91.8,93.8,2.3,3.1,0.667,2.75,16.5,0.238,0.661,0.443,7.924,8.2,0.415,0.461,1.0,0.198,100.06,97.5,81.25,98.0,0.512
1188,0,22200907,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,112.5,112.0,94.8,95.9,17.7,16.1,0.556,2.08,18.4,0.275,0.782,0.538,12.058,12.0,0.553,0.568,1.0,0.199,99.34,99.0,82.5,100.0,0.592
1189,1,22200907,1610612743,Denver,Nuggets,DEN,nuggets,240:00,94.8,95.9,112.5,112.0,-17.7,-16.1,0.611,1.47,16.6,0.218,0.725,0.462,15.127,15.3,0.466,0.494,1.0,0.2,99.34,99.0,82.5,98.0,0.408
1190,0,2022200313,1612709928,Capital City,Go-Go,CCG,go-go,240:00,111.3,114.2,127.1,130.8,-15.8,-16.6,0.673,1.5,21.2,0.438,0.725,0.568,20.235,20.8,0.553,0.601,1.0,0.199,107.88,105.0,87.5,106.0,0.451
1191,1,2022200313,1612709909,Delaware,Blue Coats,DEL,blue-coats,240:00,127.1,130.8,111.3,114.2,15.8,16.6,0.694,1.79,23.0,0.275,0.563,0.432,17.75,18.3,0.653,0.715,1.0,0.2,107.88,105.0,87.5,104.0,0.549
1192,0,22200905,1610612753,Orlando,Magic,ORL,magic,240:00,102.2,108.0,115.1,118.6,-12.9,-10.6,0.457,1.14,11.7,0.368,0.745,0.554,13.243,14.0,0.422,0.506,1.0,0.199,105.44,101.0,84.17,100.0,0.416
1193,1,22200905,1610612754,Indiana,Pacers,IND,pacers,240:00,115.1,118.6,102.2,108.0,12.9,10.6,0.729,3.5,23.3,0.255,0.632,0.446,9.509,9.8,0.561,0.575,1.0,0.191,105.44,101.0,84.17,102.0,0.584
1194,0,22200901,1610612744,Golden State,Warriors,GSW,warriors,240:00,118.5,122.1,105.6,104.1,12.9,18.0,0.73,1.42,20.5,0.214,0.746,0.525,19.404,20.0,0.641,0.675,1.0,0.196,96.8,96.0,80.0,95.0,0.548
1195,1,22200901,1610612745,Houston,Rockets,HOU,rockets,240:00,105.6,104.1,118.5,122.1,-12.9,-18.0,0.639,3.29,17.5,0.254,0.786,0.475,7.316,7.2,0.451,0.497,1.0,0.199,96.8,96.0,80.0,97.0,0.452
1196,0,22200902,1610612746,LA,Clippers,LAC,clippers,290:00,132.7,133.6,136.0,135.4,-3.3,-1.8,0.661,1.56,21.9,0.238,0.72,0.5,18.962,19.1,0.735,0.769,1.0,0.197,108.1,108.0,90.0,131.0,0.495
1197,1,22200902,1610612758,Sacramento,Kings,SAC,kings,290:00,136.0,135.4,132.7,133.6,3.3,1.8,0.508,2.2,18.9,0.28,0.762,0.5,11.592,11.5,0.667,0.696,1.0,0.201,108.1,108.0,90.0,130.0,0.505
1198,0,2022200312,1612709902,Santa Cruz,Warriors,SCW,warriors,240:00,115.0,109.6,104.5,101.0,10.5,8.7,0.686,1.41,16.9,0.41,0.707,0.555,17.151,16.3,0.451,0.564,1.0,0.212,99.8,104.0,86.67,104.0,0.582
1199,1,2022200312,1612709890,Austin,Spurs,AUS,spurs,240:00,104.5,101.0,115.0,109.6,-10.5,-8.7,0.629,1.38,16.4,0.293,0.59,0.445,15.924,15.4,0.461,0.544,1.0,0.21,99.8,104.0,86.67,104.0,0.418
1200,0,22200898,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,103.6,107.6,116.0,114.2,-12.4,-6.5,0.543,1.56,17.7,0.192,0.765,0.476,14.674,15.2,0.554,0.565,1.0,0.195,106.68,105.5,87.92,105.0,0.45
1201,1,22200898,1610612766,Charlotte,Hornets,CHA,hornets,240:00,116.0,114.2,103.6,107.6,12.4,6.5,0.581,2.27,17.8,0.235,0.808,0.524,10.544,10.4,0.522,0.58,1.0,0.199,106.68,105.5,87.92,106.0,0.55
1202,0,2022200310,1612709926,Memphis,Hustle,MHU,hustle,240:00,121.7,119.4,94.4,93.3,27.4,26.1,0.717,1.57,22.4,0.326,0.681,0.539,20.784,20.4,0.634,0.661,1.0,0.203,101.92,103.5,86.25,103.0,0.658
1203,1,2022200310,1612709930,G League,Ignite,GLI,ignite,240:00,94.4,93.3,121.7,119.4,-27.4,-26.1,0.611,1.47,15.3,0.319,0.674,0.461,14.591,14.4,0.403,0.454,1.0,0.202,101.92,103.5,86.25,104.0,0.342
1204,0,2022200307,1612709922,Greensboro,Swarm,GBO,swarm,240:00,100.3,99.1,116.1,113.2,-15.8,-14.1,0.628,2.25,19.1,0.217,0.792,0.472,11.351,11.2,0.495,0.516,1.0,0.202,104.56,106.5,88.75,107.0,0.432
1205,1,2022200307,1612709915,Maine,Celtics,MNE,celtics,240:00,116.1,113.2,100.3,99.1,15.8,14.1,0.646,1.82,21.5,0.208,0.783,0.528,16.441,16.0,0.603,0.622,1.0,0.201,104.56,106.5,88.75,106.0,0.568
1206,0,22200896,1610612737,Atlanta,Hawks,ATL,hawks,240:00,130.6,132.0,116.9,115.5,13.7,16.5,0.56,2.0,20.4,0.222,0.792,0.548,13.446,13.6,0.676,0.715,1.0,0.2,102.94,103.0,85.83,103.0,0.597
1207,1,22200896,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,116.9,115.5,130.6,132.0,-13.7,-16.5,0.5,1.82,15.2,0.208,0.778,0.452,10.81,10.7,0.528,0.591,1.0,0.2,102.94,103.0,85.83,103.0,0.403
1208,0,22200897,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,118.1,120.8,95.2,93.4,22.9,27.4,0.574,2.25,18.6,0.269,0.828,0.564,11.074,11.3,0.577,0.602,1.0,0.196,106.18,106.0,88.33,106.0,0.622
1209,1,22200897,1610612748,Miami,Heat,MIA,heat,240:00,95.2,93.4,118.1,120.8,-22.9,-27.4,0.583,2.1,15.7,0.172,0.731,0.436,9.615,9.4,0.44,0.481,1.0,0.202,106.18,106.0,88.33,106.0,0.378
1210,0,2022200308,1612709919,Westchester,Knicks,WES,knicks,240:00,110.9,110.2,112.2,111.9,-1.3,-1.7,0.574,2.25,18.5,0.263,0.654,0.45,11.186,11.1,0.505,0.555,1.0,0.205,108.0,108.5,90.42,108.0,0.475
