,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS
1442,MCC,L,3,2,1,0,0,0,105.9,WCB,8,6,2,1,1,1,116.2
1443,SAS,L,10,3,3,0,0,0,108.4,POR,16,5,4,1,1,1,115.5
1444,GRG,L,2,2,1,0,0,0,105.0,SXF,9,7,5,2,2,2,110.3
1445,RAP,W,6,3,2,1,1,1,114.6,CCG,7,3,1,1,1,1,106.0
1446,CPS,W,10,7,4,1,1,1,118.3,DEL,5,4,1,0,0,0,119.1
1447,DAL,L,16,5,3,0,0,0,116.4,CLE,18,5,2,0,0,0,102.5
1448,SBL,W,9,7,4,1,1,1,117.9,SCW,8,6,4,1,1,1,111.0
1449,ORL,W,12,3,3,0,0,0,105.8,ATL,16,3,1,2,2,2,110.8
1450,DEN,W,19,6,2,0,0,0,116.8,WAS,12,1,0,0,0,0,114.1
1451,WIS,L,6,5,2,0,0,0,113.6,FWN,8,6,2,0,0,0,118.2
1452,SLC,W,5,3,1,1,1,1,113.6,OKL,7,4,2,1,1,1,105.7
1453,OKC,L,16,4,2,0,0,0,114.8,MIA,17,6,2,0,0,0,107.2
1454,CHA,L,7,3,0,0,0,0,108.5,DET,7,3,1,0,0,0,110.8
1455,IND,W,16,3,2,1,1,1,111.2,GSW,17,6,2,0,0,0,120.3
1456,LAC,W,18,5,3,0,0,0,111.1,MIN,17,4,2,1,1,1,117.0
1457,TOR,L,16,4,2,0,0,0,108.1,SAC,18,4,2,0,0,0,111.8
1458,CHI,L,14,5,2,0,0,0,117.8,NYK,17,6,4,0,0,0,116.2
1459,LAL,L,12,6,2,0,0,0,121.5,BOS,23,7,3,0,0,0,118.6
1460,UTA,W,16,3,2,1,1,1,117.0,NOP,22,9,5,0,0,0,119.8
1461,LIN,W,8,8,3,1,1,1,113.2,WES,6,6,5,0,0,0,112.9
1462,MIL,W,19,7,4,0,0,0,113.0,GSW,17,6,3,0,0,0,117.5
1463,PHI,W,18,6,2,0,0,0,114.1,SAC,18,5,3,0,0,0,112.8
1464,HOU,W,11,5,3,1,1,1,114.0,PHX,17,5,1,1,1,1,117.9
1465,SLC,W,4,2,0,0,0,0,112.4,OKL,7,4,2,1,1,1,104.7
1466,MHU,W,7,5,4,1,1,1,114.4,LAK,5,3,2,0,0,0,113.5
1467,STO,W,6,5,2,0,0,0,110.3,ACC,12,9,4,2,2,2,111.4
1468,CLC,W,10,6,4,1,1,1,111.3,WCB,8,7,3,1,1,1,117.9
1469,POR,W,15,4,3,1,1,1,113.3,MIN,17,5,3,0,0,0,116.3
1470,GRG,L,2,2,1,0,0,0,106.3,SXF,8,6,4,1,1,1,110.7
1471,CPS,W,9,7,4,0,0,0,118.7,DEL,5,4,2,0,0,0,118.2
1472,WAS,L,12,1,0,0,0,0,114.6,BKN,18,8,4,2,2,2,114.6
1473,LIN,L,8,8,4,1,1,1,115.2,CCG,6,3,0,0,0,0,110.0
1474,LAC,W,17,4,2,0,0,0,110.5,BOS,23,8,3,0,0,0,121.8
1475,SAS,W,9,2,2,0,0,0,106.9,CLE,18,6,3,0,0,0,102.8
