,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,H_AVG_FG_PCT,H_AVG_FGA,H_AVG_FG3M,H_AVG_FTM,H_AVG_DREB,H_AVG_OREB,H_AVG_REB,H_AVG_STL,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS,A_AVG_FG_PCT,A_AVG_FGA,A_AVG_FG3M,A_AVG_FTM,A_AVG_DREB,A_AVG_OREB,A_AVG_REB,A_AVG_STL
1191,NAS,L,3,1,0,1,1,1,107.85714285714286,0.45321428571428574,86.21428571428571,11.928571428571429,10.928571428571429,32.5,9.785714285714286,42.285714285714285,7.285714285714286,SCW,7,4,2,0,0,0,107.13333333333334,0.4558666666666667,86.33333333333333,10.066666666666666,10.933333333333334,33.666666666666664,9.733333333333333,43.4,11.2
1192,NOP,L,11,0,0,0,0,0,110.85,0.44634999999999997,90.5,13.55,16.7,33.6,10.05,43.65,7.75,ORL,14,5,2,0,0,0,104.4,0.43984999999999996,86.8,10.25,17.65,34.25,10.5,44.75,8.0
1193,GRD,L,9,5,1,0,0,0,106.5,0.457375,90.375,9.6875,9.375,32.75,15.625,48.375,9.6875,MNE,8,6,2,0,0,0,121.91666666666667,0.4699166666666667,94.75,16.083333333333332,10.666666666666666,36.916666666666664,13.75,50.666666666666664,7.75
1194,DEN,W,20,5,2,1,1,1,106.45,0.45780000000000004,89.95,10.65,13.5,35.05,10.3,45.35,7.65,NYK,7,2,2,0,0,0,101.15,0.4240000000000001,87.3,10.5,16.75,32.55,11.7,44.25,7.55
1195,SBL,L,8,6,4,0,0,0,118.78571428571429,0.48114285714285715,93.5,11.857142857142858,10.428571428571429,36.214285714285715,13.428571428571429,49.642857142857146,10.214285714285714,STO,8,6,3,0,0,0,114.38461538461539,0.45315384615384613,92.84615384615384,12.692307692307692,10.923076923076923,33.84615384615385,13.0,46.84615384615385,8.692307692307692
1196,ATL,L,7,2,1,0,0,0,109.85,0.45085,89.9,11.0,17.85,31.15,10.05,41.2,8.2,LAL,26,9,5,1,1,1,114.9,0.49265,88.25,11.85,15.95,35.35,10.3,45.65,8.6
1197,PHX,L,13,4,2,0,0,0,115.65,0.46094999999999997,90.35,13.0,19.45,32.0,9.6,41.6,7.6,SAS,11,4,3,0,0,0,111.15,0.46464999999999995,91.0,9.3,17.45,34.6,10.0,44.6,6.95
1198,DAL,L,19,8,4,0,0,0,118.8,0.4686,90.25,15.1,18.9,37.25,11.1,48.35,6.3,MIA,22,7,3,0,0,0,110.95,0.47565,83.45,12.4,19.25,35.5,8.85,44.35,8.15
1199,RAP,L,5,5,2,0,0,0,110.0,0.43553846153846154,96.61538461538461,11.0,9.307692307692308,33.0,11.692307692307692,44.69230769230769,12.23076923076923,DEL,8,7,5,1,1,1,120.41666666666667,0.4701666666666667,94.16666666666667,11.583333333333334,11.916666666666666,39.666666666666664,13.416666666666666,53.083333333333336,8.666666666666666
1200,MEM,W,11,3,2,0,0,0,109.85,0.46025,90.55,11.85,14.9,35.3,9.15,44.45,8.1,WAS,10,2,1,0,0,0,119.4,0.47799999999999987,93.4,12.75,17.45,31.05,10.1,41.15,7.45
1201,IWA,L,6,5,2,0,0,0,117.92857142857143,0.46621428571428575,92.85714285714286,13.357142857142858,10.928571428571429,35.214285714285715,11.5,46.714285714285715,8.0,SXF,6,3,2,1,1,1,109.0,0.4789333333333333,83.53333333333333,10.933333333333334,11.4,33.733333333333334,9.8,43.53333333333333,7.2
1202,WCB,L,7,5,2,0,0,0,111.0,0.4512307692307692,94.76923076923077,11.846153846153847,8.538461538461538,36.53846153846154,10.923076923076923,47.46153846153846,10.76923076923077,AUS,7,6,3,0,0,0,112.07692307692308,0.4707692307692308,88.0,9.461538461538462,12.23076923076923,34.92307692307692,13.384615384615385,48.30769230769231,8.846153846153847
1203,HOU,L,21,6,4,0,0,0,119.4,0.45644999999999997,89.65,16.4,21.3,36.9,11.45,48.35,8.5,DET,13,5,3,0,0,0,108.9,0.46709999999999996,85.55,12.8,16.2,33.35,9.7,43.05,6.9
1204,TOR,W,18,6,1,1,1,1,110.6,0.45219999999999994,88.25,13.4,17.4,34.95,9.95,44.9,8.8,BKN,16,7,3,0,0,0,110.9,0.45104999999999995,89.85,12.7,17.1,36.0,10.85,46.85,6.8
1205,GBO,L,4,3,1,0,0,0,115.07692307692308,0.4556923076923077,92.53846153846153,12.538461538461538,11.307692307692308,30.384615384615383,13.076923076923077,43.46153846153846,9.538461538461538,WES,4,3,3,1,1,1,105.33333333333333,0.4501666666666666,89.0,12.5,7.916666666666667,31.083333333333332,11.0,42.083333333333336,8.833333333333334
